0,1,10,11,recall,far,precision,accuracy,F1 Score,aod,eod,SPD,DI
0.1,0.1,0.1,0.7,0.96,0.67,0.31,0.48,0.47,-0.16,0.23,0.53,0.64
0.1,0.1,0.2,0.6,0.97,0.68,0.31,0.48,0.47,-0.16,0.07,0.36,0.44
0.1,0.1,0.3,0.5,0.97,0.67,0.31,0.48,0.47,-0.08,0.03,0.19,0.25
0.1,0.1,0.4,0.4,0.96,0.63,0.33,0.51,0.49,-0.01,-0.02,0.03,0.04
0.1,0.1,0.5,0.3,0.95,0.57,0.34,0.55,0.5,0.05,-0.05,0.09,-0.13
0.1,0.1,0.6,0.2,0.9,0.48,0.37,0.61,0.52,0.09,-0.1,0.22,-0.4
0.1,0.1,0.7,0.1,0.78,0.33,0.43,0.69,0.55,0.15,-0.24,0.44,-1.16
0.1,0.2,0.1,0.6,0.93,0.52,0.36,0.59,0.52,-0.09,0.19,0.38,0.57
0.1,0.2,0.2,0.5,0.92,0.49,0.38,0.61,0.54,-0.06,0.03,0.18,0.28
0.1,0.2,0.3,0.4,0.89,0.45,0.39,0.63,0.54,0.02,-0.06,0.04,-0.07
0.1,0.2,0.4,0.3,0.84,0.38,0.41,0.67,0.55,0.07,-0.16,0.23,-0.49
0.1,0.2,0.5,0.2,0.77,0.31,0.44,0.71,0.56,0.11,-0.24,0.37,-1.01
0.1,0.2,0.6,0.1,0.6,0.21,0.47,0.74,0.53,0.1,-0.43,0.54,-2.42
0.1,0.3,0.1,0.5,0.84,0.35,0.43,0.7,0.57,-0.04,0.1,0.21,0.42
0.1,0.3,0.2,0.4,0.83,0.32,0.45,0.71,0.58,-0.02,-0.08,0.01,0.01
0.1,0.3,0.3,0.3,0.77,0.28,0.46,0.73,0.58,0.04,-0.2,0.22,-0.59
0.1,0.3,0.4,0.2,0.68,0.23,0.48,0.75,0.56,0.07,-0.33,0.41,-1.46
0.1,0.3,0.5,0.1,0.5,0.16,0.49,0.75,0.49,0.05,-0.54,0.58,-3.66
0.1,0.4,0.1,0.4,0.75,0.24,0.5,0.76,0.6,-0.02,0.01,0.1,0.26
0.1,0.4,0.2,0.3,0.7,0.21,0.52,0.77,0.6,-0.02,-0.22,0.13,-0.43
0.1,0.4,0.3,0.2,0.59,0.17,0.52,0.77,0.55,0.01,-0.39,0.36,-1.63
0.1,0.4,0.4,0.1,0.41,0.14,0.49,0.75,0.45,-0.02,-0.63,0.58,-4.84
0.1,0.5,0.1,0.3,0.62,0.14,0.58,0.8,0.6,-0.03,-0.14,0.04,-0.17
0.1,0.5,0.2,0.2,0.52,0.12,0.57,0.79,0.54,-0.05,-0.43,0.3,-1.68
0.1,0.5,0.3,0.1,0.36,0.11,0.52,0.76,0.43,-0.08,-0.63,0.48,-4.82
0.1,0.6,0.1,0.2,0.47,0.08,0.65,0.81,0.55,-0.08,-0.3,0.13,-0.84
0.1,0.6,0.2,0.1,0.31,0.08,0.56,0.77,0.4,-0.14,-0.65,0.39,-5.05
0.1,0.7,0.1,0.1,0.28,0.04,0.67,0.79,0.39,-0.16,-0.51,0.21,-3.11
0.2,0.1,0.1,0.6,0.94,0.64,0.32,0.5,0.48,-0.12,0.41,0.63,0.79
0.2,0.1,0.2,0.5,0.95,0.63,0.33,0.51,0.49,-0.14,0.22,0.49,0.63
0.2,0.1,0.3,0.4,0.95,0.58,0.34,0.55,0.5,-0.12,0.09,0.33,0.46
0.2,0.1,0.4,0.3,0.94,0.52,0.36,0.59,0.52,-0.08,0.04,0.21,0.32
0.2,0.1,0.5,0.2,0.89,0.43,0.4,0.65,0.55,-0.01,-0.04,0.03,0.05
0.2,0.1,0.6,0.1,0.78,0.29,0.46,0.72,0.58,0.04,-0.19,0.21,-0.54
0.2,0.2,0.1,0.5,0.89,0.44,0.39,0.64,0.54,-0.03,0.35,0.45,0.72
0.2,0.2,0.2,0.4,0.87,0.39,0.41,0.67,0.56,-0.04,0.13,0.25,0.47
0.2,0.2,0.3,0.3,0.83,0.33,0.44,0.71,0.58,-0.04,-0.04,0.08,0.17
0.2,0.2,0.4,0.2,0.77,0.26,0.48,0.75,0.59,-0.02,-0.14,0.06,-0.16
0.2,0.2,0.5,0.1,0.6,0.17,0.53,0.78,0.56,-0.01,-0.36,0.3,-1.33
0.2,0.3,0.1,0.4,0.79,0.28,0.47,0.74,0.59,0.01,0.24,0.27,0.61
0.2,0.3,0.2,0.3,0.75,0.23,0.5,0.76,0.6,-0.02,0,0.08,0.21
0.2,0.3,0.3,0.2,0.67,0.18,0.55,0.79,0.6,-0.04,-0.22,0.1,-0.36
0.2,0.3,0.4,0.1,0.49,0.11,0.59,0.79,0.54,-0.08,-0.45,0.28,-1.73
0.2,0.4,0.1,0.3,0.67,0.16,0.57,0.8,0.62,0,0.08,0.13,0.43
0.2,0.4,0.2,0.2,0.57,0.12,0.6,0.8,0.58,-0.04,-0.19,0.07,-0.3
0.2,0.4,0.3,0.1,0.4,0.08,0.61,0.79,0.48,-0.14,-0.52,0.26,-2.24
0.2,0.5,0.1,0.2,0.51,0.08,0.66,0.82,0.58,-0.04,-0.09,0.02,0.09
0.2,0.5,0.2,0.1,0.34,0.06,0.65,0.8,0.45,-0.14,-0.44,0.19,-1.88
0.2,0.6,0.1,0.1,0.29,0.03,0.75,0.81,0.42,-0.13,-0.33,0.09,-1.12
0.3,0.1,0.1,0.5,0.93,0.61,0.33,0.52,0.49,-0.07,0.5,0.65,0.83
0.3,0.1,0.2,0.4,0.93,0.58,0.34,0.55,0.5,-0.1,0.32,0.52,0.71
0.3,0.1,0.3,0.3,0.92,0.49,0.37,0.61,0.53,-0.08,0.19,0.35,0.55
0.3,0.1,0.4,0.2,0.88,0.4,0.41,0.66,0.56,-0.05,0.07,0.2,0.37
0.3,0.1,0.5,0.1,0.76,0.25,0.49,0.75,0.6,-0.02,-0.13,0.03,-0.09
0.3,0.2,0.1,0.4,0.85,0.37,0.42,0.68,0.56,0.03,0.42,0.42,0.76
0.3,0.2,0.2,0.3,0.81,0.31,0.46,0.72,0.59,-0.02,0.17,0.24,0.52
0.3,0.2,0.3,0.2,0.75,0.23,0.51,0.76,0.61,-0.02,0,0.09,0.24
0.3,0.2,0.4,0.1,0.59,0.13,0.58,0.8,0.58,-0.06,-0.26,0.12,-0.53
0.3,0.3,0.1,0.3,0.73,0.22,0.51,0.77,0.6,0.05,0.29,0.25,0.67
0.3,0.3,0.2,0.2,0.65,0.15,0.57,0.8,0.61,-0.01,0,0.06,0.23
0.3,0.3,0.3,0.1,0.48,0.08,0.64,0.81,0.55,-0.08,-0.29,0.12,-0.71
0.3,0.4,0.1,0.2,0.55,0.1,0.64,0.82,0.59,0.02,0.07,0.09,0.41
0.3,0.4,0.2,0.1,0.38,0.06,0.69,0.81,0.49,-0.1,-0.29,0.09,-0.77
0.3,0.5,0.1,0.1,0.31,0.03,0.75,0.81,0.44,-0.06,-0.17,0.03,-0.32
0.4,0.1,0.1,0.4,0.91,0.56,0.34,0.55,0.5,-0.02,0.58,0.64,0.87
0.4,0.1,0.2,0.3,0.91,0.49,0.37,0.6,0.53,-0.05,0.37,0.49,0.74
0.4,0.1,0.3,0.2,0.86,0.38,0.42,0.68,0.56,-0.03,0.21,0.3,0.56
0.4,0.1,0.4,0.1,0.75,0.23,0.51,0.76,0.61,-0.02,0,0.08,0.23
0.4,0.2,0.1,0.3,0.78,0.29,0.46,0.73,0.58,0.06,0.43,0.37,0.79
0.4,0.2,0.2,0.2,0.74,0.23,0.51,0.77,0.6,0.01,0.16,0.2,0.53
0.4,0.2,0.3,0.1,0.57,0.11,0.61,0.81,0.59,-0.03,-0.1,0,-0.01
0.4,0.3,0.1,0.2,0.62,0.13,0.6,0.81,0.61,0.08,0.26,0.18,0.65
0.4,0.3,0.2,0.1,0.47,0.07,0.68,0.82,0.56,-0.05,-0.14,0.01,-0.09
0.4,0.4,0.1,0.1,0.36,0.04,0.74,0.82,0.48,-0.02,-0.03,0.02,0.2
0.5,0.1,0.1,0.3,0.89,0.49,0.37,0.6,0.52,0.03,0.61,0.59,0.88
0.5,0.1,0.2,0.2,0.85,0.37,0.42,0.68,0.56,0.01,0.37,0.4,0.73
0.5,0.1,0.3,0.1,0.74,0.22,0.52,0.77,0.61,0,0.12,0.17,0.45
0.5,0.2,0.1,0.2,0.72,0.21,0.52,0.77,0.6,0.09,0.41,0.3,0.79
0.5,0.2,0.2,0.1,0.55,0.1,0.63,0.81,0.59,0,0.03,0.07,0.33
0.5,0.3,0.1,0.1,0.44,0.05,0.72,0.82,0.55,0.04,0.12,0.08,0.53
0.6,0.1,0.1,0.2,0.84,0.37,0.42,0.68,0.56,0.08,0.58,0.48,0.88
0.6,0.1,0.2,0.1,0.72,0.21,0.52,0.77,0.6,0.06,0.28,0.24,0.65
0.6,0.2,0.1,0.1,0.53,0.09,0.65,0.82,0.58,0.08,0.25,0.15,0.69
0.7,0.1,0.1,0.1,0.71,0.21,0.52,0.77,0.6,0.12,0.46,0.32,0.85
