0,1,10,11,recall,far,precision,accuracy,F1 Score,aod,eod,SPD,DI
0.1,0.1,0.1,0.7,0.77,0.53,0.63,0.63,0.69,-0.14,0.38,0.52,0.52
0.1,0.1,0.2,0.6,0.97,0.89,0.56,0.57,0.71,-0.05,0.05,0.1,0.1
0.1,0.1,0.3,0.5,1,0.97,0.55,0.55,0.71,-0.02,0,0.02,0.02
0.1,0.1,0.4,0.4,1,1,0.54,0.54,0.7,0,0,0,0
0.1,0.1,0.5,0.3,1,0.99,0.54,0.54,0.7,0,-0.01,0.01,-0.01
0.1,0.1,0.6,0.2,0.95,0.91,0.55,0.55,0.7,0.09,-0.13,0.2,-0.25
0.1,0.1,0.7,0.1,0.86,0.81,0.55,0.55,0.67,0.15,-0.37,0.49,-0.95
0.1,0.2,0.1,0.6,0.76,0.52,0.63,0.63,0.69,-0.13,0.37,0.5,0.51
0.1,0.2,0.2,0.5,0.95,0.86,0.57,0.58,0.71,-0.02,0,0.02,0.03
0.1,0.2,0.3,0.4,0.95,0.89,0.56,0.56,0.7,0.08,-0.12,0.17,-0.21
0.1,0.2,0.4,0.3,0.9,0.86,0.55,0.55,0.68,0.12,-0.26,0.36,-0.56
0.1,0.2,0.5,0.2,0.86,0.81,0.55,0.55,0.67,0.15,-0.37,0.49,-0.95
0.1,0.2,0.6,0.1,0.74,0.76,0.53,0.51,0.62,0.09,-0.69,0.76,-3.2
0.1,0.3,0.1,0.5,0.72,0.44,0.66,0.64,0.69,-0.05,0.25,0.32,0.4
0.1,0.3,0.2,0.4,0.87,0.75,0.58,0.59,0.7,0.08,-0.21,0.26,-0.4
0.1,0.3,0.3,0.3,0.85,0.78,0.56,0.56,0.68,0.14,-0.38,0.48,-0.97
0.1,0.3,0.4,0.2,0.77,0.77,0.54,0.52,0.63,0.11,-0.61,0.7,-2.28
0.1,0.3,0.5,0.1,0.68,0.73,0.52,0.49,0.59,0.06,-0.85,0.89,-8.39
0.1,0.4,0.1,0.4,0.57,0.3,0.69,0.63,0.62,0.04,0.13,0.13,0.24
0.1,0.4,0.2,0.3,0.77,0.67,0.58,0.57,0.66,0.09,-0.48,0.54,-1.48
0.1,0.4,0.3,0.2,0.74,0.73,0.54,0.52,0.62,0.07,-0.69,0.74,-3.12
0.1,0.4,0.4,0.1,0.64,0.72,0.51,0.47,0.57,0.01,-0.97,0.98,-42.55
0.1,0.5,0.1,0.3,0.53,0.29,0.68,0.62,0.6,-0.03,-0.23,0.17,-0.57
0.1,0.5,0.2,0.2,0.66,0.62,0.56,0.53,0.61,0.02,-0.76,0.76,-5.53
0.1,0.5,0.3,0.1,0.63,0.7,0.52,0.48,0.57,0,-0.96,0.96,-41.73
0.1,0.6,0.1,0.2,0.43,0.25,0.67,0.58,0.52,-0.1,-0.5,0.4,-4.89
0.1,0.6,0.2,0.1,0.59,0.61,0.53,0.5,0.56,-0.05,-0.95,0.9,#NAME?
0.1,0.7,0.1,0.1,0.39,0.26,0.64,0.55,0.48,-0.13,-0.62,0.49,#NAME?
0.2,0.1,0.1,0.6,0.55,0.35,0.65,0.59,0.6,-0.09,0.72,0.81,0.81
0.2,0.1,0.2,0.5,0.76,0.52,0.63,0.63,0.69,-0.14,0.38,0.52,0.52
0.2,0.1,0.3,0.4,0.89,0.69,0.6,0.62,0.72,-0.12,0.17,0.3,0.3
0.2,0.1,0.4,0.3,0.95,0.86,0.57,0.58,0.71,-0.02,0,0.02,0.03
0.2,0.1,0.5,0.2,0.95,0.89,0.56,0.56,0.7,0.08,-0.12,0.17,-0.21
0.2,0.1,0.6,0.1,0.85,0.78,0.56,0.56,0.68,0.14,-0.38,0.48,-0.97
0.2,0.2,0.1,0.5,0.54,0.33,0.66,0.6,0.59,-0.05,0.67,0.72,0.78
0.2,0.2,0.2,0.4,0.72,0.44,0.66,0.64,0.69,-0.05,0.25,0.32,0.4
0.2,0.2,0.3,0.3,0.79,0.55,0.63,0.64,0.7,0,-0.09,0.06,-0.09
0.2,0.2,0.4,0.2,0.83,0.7,0.58,0.58,0.68,0.1,-0.34,0.4,-0.8
0.2,0.2,0.5,0.1,0.74,0.73,0.54,0.52,0.62,0.07,-0.69,0.74,-3.11
0.2,0.3,0.1,0.4,0.45,0.21,0.71,0.61,0.55,0.04,0.43,0.42,0.68
0.2,0.3,0.2,0.3,0.66,0.38,0.67,0.64,0.66,0,-0.05,0.02,-0.04
0.2,0.3,0.3,0.2,0.67,0.46,0.63,0.61,0.65,-0.01,-0.41,0.38,-1.16
0.2,0.3,0.4,0.1,0.65,0.62,0.55,0.53,0.6,0,-0.8,0.79,-6.99
0.2,0.4,0.1,0.3,0.35,0.13,0.76,0.59,0.48,0.05,0.19,0.17,0.47
0.2,0.4,0.2,0.2,0.5,0.28,0.67,0.6,0.57,-0.06,-0.32,0.25,-1.04
0.2,0.4,0.3,0.1,0.53,0.41,0.6,0.56,0.56,-0.11,-0.78,0.67,-19.93
0.2,0.5,0.1,0.2,0.25,0.09,0.76,0.55,0.38,-0.01,-0.08,0.05,-0.39
0.2,0.5,0.2,0.1,0.4,0.25,0.65,0.56,0.5,-0.12,-0.59,0.46,-20.1
